WKT,名稱,類別,地區,地址 (中文),韓文地址,說明,來源
"POINT (129.1585312 35.1607506)",嚴湧帛豬肉湯飯海雲台店  (엄용백돼지국밥),豬肉湯飯,海雲台,,부산 수영구 수영로680번길 39,[豬肉湯飯界愛馬仕] 傳統湯飯的顛覆者。極致清澈的釜山式清湯派頂點，肉片切得薄如法式料理。裝潢為高質感韓屋，質感極佳。,金導遊
"POINT (129.1597925 35.1620835)",柳家鐵板雞排 (유가네닭갈비 해운대점 ),炒雞,海雲台,,,全韓國最大的辣炒雞連鎖餐廳
沒關係是愛情啊曾在此取景,谷歌
"POINT (129.1606834 35.1619037)",巍然醒酒馬鈴薯排骨湯 海雲台店 (우뚝해장국감자탕 해운대본점),馬鈴薯排骨湯,海雲台,釜山廣域市海雲臺區龜南路25號,부산 해운대구 구남로 25,一人友善,https://alinalife.tw/woodduk/
"POINT (129.1590339 35.1610437)",味贊王鹽烤肉 海雲台店 (맛찬들왕소금구이 해운대점),韓式烤肉,海雲台,,,常看到的推薦，多間連鎖店，有代烤服務
,IG + 金導遊
"POINT (129.1591675 35.1615099)",伍班長烤肉（오반장）,韓式烤肉,海雲台,20 Gunam-ro 24beon-gil, Haeundae-gu, Busan,부산광역시 해운대구 우1동 구남로24번길 20 ,室內味道較重，可以坐戶外，一人可用餐需點滿 3 份肉，CP 值高， 蒸蛋要點
,IG
"POINT (129.1705986 35.1592044)",水邊最高豬肉湯飯 (수변최고돼지국밥),豬肉湯飯,海雲台,,부산 수영구 광안해변로370번길 9-32,[廣安里深夜救贖] 廣安里在地人與遊客公認的前三名湯飯！招牌杭政肉（豬頸肉）湯飯爽脆肥美，湯頭極度濃白，24小時營業。,金導遊
"POINT (129.16085 35.1607303)",春夏秋冬 小麥冷麵 | CC 推薦,小麥冷麵,海雲台,,,CC 推薦的小麥冷麵，西面也有店,CC
"POINT (129.1707231 35.1596968)",巨松燉排骨 海雲台店,辣燉排骨,海雲台,,부산 해운대구 달맞이길62번길 17 2층,大邱開來的，品相沒有大邱多，可以選完全不辣的,IG
"POINT (129.1469545 35.1566385)",뫼밀집 moemiljip,冷麵,海雲台,,부산광역시 해운대구 마린시티3로 23, 오렌지프라자 2층 (우동),2026年米其林餐盤
主打特色： 蕎麥麵專賣店（高人氣香辣拌麵、紫蘇油冷麵）。
紫蘇油冷麵： 走清新路線，紫蘇油香氣細緻且耐吃。
,IG
"POINT (129.1564519 35.1617053)",超一肉 海雲台總店 (초일육 해운대본점),韓式烤肉,海雲台,南韓 Busan, Haeundae-gu, Gunam-ro 8beon-gil, 58 2층,부산 해운대구 구남로8번길 2 2F,豬韓牛都有：在當地以「豬肉」和「韓牛」都很厲害而聞名，是深受釜山在地人歡迎的排隊名店

全程代烤服務,單單
"POINT (129.1540882 35.161337)",Standard Bread,麵包,海雲台,,,首爾開到釜山來，台北現在也有店,IG
"POINT (129.1934966 35.160891)",Liberta,海景咖啡,海雲台,,,,
"POINT (129.1425554 35.1549902)",풍원장 꼬막정찬,,,,,,
"POINT (129.2088791 35.1824072)",CORALANI,,,,,,
"POINT (129.200158 35.181625)",海雲台31公分海鮮刀切麵,,,,,,
"POINT (129.1714236 35.1607187)",Who's Who MUMU Bakery | Busan 후스후무무,,,,,,
"POINT (129.1443344 35.1544957)",Momos Coffee,咖啡,,,,,
"POINT (129.2112746 35.1819187)",카페 윤 CAFE YOON,,,,,,
"POINT (129.15767 35.1655785)",Millchango,麵包,海雲台,,,,
